Link,Tags,Hubs,Unique user,Company name,Username,Number of comments,Number of positive votes,Number of negative votes,Number of views,Number of bookmarks
/ru/company/otus/blog/530024/,"koin,kotlin,Блог компании OTUS,grudle plugin,android development","Kotlin,Разработка под Android,Программирование",True,otus,MaxRokatansky,1,0,0,1000,28
/ru/post/529798/,"fp,android,kotlin","Kotlin,Разработка под Android,Функциональное программирование",False,,ivanlardis,11,0,0,3500,24
/ru/company/otus/blog/529886/,"android,programming,kotlin,Блог компании OTUS,java","Kotlin,Разработка под Android,Программирование",True,otus,MaxRokatansky,2,0,0,2300,20
/ru/post/529660/,"Kotlin,MUD,Swift,MMORPG,pixelart","Kotlin,Дизайн игр,Python,Разработка игр,Swift",False,,kiselbor,7,0,0,1600,27
/ru/company/funcorp/blog/528778/,"Блог компании FUNCORP,multithreading,mutex,funcorp,synchronized,kotlin,coroutines,concurrency,syncronize","Kotlin,Программирование",True,funcorp,rjhdby,24,0,0,66000,46
/ru/company/lamoda/blog/528718/,"kotlin,lamoda,java,конференции,joker,Блог компании Lamoda","Java,Kotlin,Конференции",True,lamoda,imbananko,0,0,0,4900,0
/ru/company/badoo/blog/575550/,"Блог компании Badoo,android,android development,kotlin","Kotlin,Разработка под Android,Проектирование и рефакторинг,Программирование",True,badoo,ChPr,4,0,0,7400,23
/ru/post/575144/,"android,слежка за пользователями,местоположение пользователя,OpenCellID,kotlin,sim-карта,Unwiredlabs,паранойя","Глобальные системы позиционирования,Kotlin,Сотовая связь,Открытые данные,Разработка под Android",False,,steff,26,0,0,2100,85
/ru/post/574904/,"в домашних условиях,android,дизайн мобильных приложений,one ui,disign,kotlin,siesta,samsung,дизайн,android development","Kotlin,Графические оболочки,Дизайн,Дизайн мобильных приложений,Разработка под Android",False,,lonely_programmer,5,0,0,28000,36
/ru/company/tinkoff/blog/574328/,"Блог компании TINKOFF,android,архитектура,монолит","Java,Kotlin,Разработка под Android",True,tinkoff,s-buvaka,2,0,0,5000,14
/ru/post/462129/,"java,kotlin,программирование","Java,Kotlin,Программирование",False,,Efrit,19,0,0,14000,46
/ru/company/epam_systems/blog/572646/,"валидация полей,валидация в Kotlin,валидация,Блог компании EPAM,валидация данных",Kotlin,True,epam_systems,ElenaSpb,10,0,0,2700,18
/ru/company/otus/blog/573320/,"spring boot,pact,jdbc,spring,kotlin,Блог компании OTUS,junit5,gradle,jpa,реляционные бд",Kotlin,True,otus,MaxRokatansky,0,0,0,2700,9
/ru/post/573016/,"tdd,тестирование,kotlin","Kotlin,TDD,Тестирование IT-систем",False,,xini,32,0,0,4800,48
/ru/post/572952/,"webflux,архитектура,kotlin,postgresql,документооборот,передовые технологии,СЭД,nats,crm,spring cloud","Kotlin,CRM-системы,Поисковые технологии,Исследования и прогнозы в IT,Облачные сервисы",False,,LaoTsing,2,0,0,2400,15
/ru/company/qiwi/blog/572804/,"android,Блог компании QIWI,автотесты,qiwi,Kotlin Multiplatform Mobile,митап,android development","Kotlin,Разработка под Android,Конференции,Программирование",True,qiwi,Stormglass,0,0,0,2800,5
/ru/company/mailru/blog/572742/,"нагрузочное тестирование,Блог компании Mail.ru Group","Серверная оптимизация,Тестирование игр,Kotlin",True,mailru,muserxix,1,0,0,24000,16
/ru/company/haulmont/blog/572574/,"Блог компании Haulmont,hibernate,spring data jpa,jdbc,kotlin,spring data,jpa,intellij idea,java,eclipselink","Java,Kotlin,Программирование",True,haulmont,andreyoganesyan,4,0,0,7800,51
/ru/company/funcorp/blog/571952/,"разработка мобильных приложений,клавиатура,android,десктопные приложения,Блог компании FUNCORP,windows 11,мобильные приложения,kotlin,desktop app,mobile app,keyboard support","Kotlin,Разработка под Android,Разработка мобильных приложений",True,funcorp,linreal,16,0,0,7300,60
/ru/post/571714/,"kotlin native,swift,kotlin multiplatform,gradle-plugin,kotlin,gradle","Kotlin,Разработка под Android,Разработка мобильных приложений,Разработка под iOS",False,,alex009ru,3,0,0,3800,12
/ru/post/568402/,"java,kotlin,bytecode","Java,Kotlin",False,,pyltsinm,5,0,0,2300,110
/ru/company/otus/blog/570890/,"spring boot,java spring,spring,kotlin,Блог компании OTUS",Kotlin,True,otus,MaxRokatansky,0,0,0,2700,12
/ru/post/570052/,"python,tensorflow-lite,нейросети,kotlin,машинное обучение","Kotlin,Python,Разработка под Android,Машинное обучение",False,,zoldaten,2,0,0,714,62
/ru/company/JetBrains/blog/570518/,"scala,release,sql,Блог компании JetBrains,javascript,spring,kotlin,IntelliJ IDEA 2021.2,программирование,IntelliJ IDEA,java","Java,Kotlin,Scala,JavaScript",True,JetBrains,IrinaMaryasova,34,0,0,3600,17
/ru/company/wrike/blog/569918/,"MVVM,Блог компании Wrike,ViewModel,Android,Dagger,android development","Kotlin,Разработка под Android,Разработка мобильных приложений",True,wrike,sshustoff,6,0,0,3700,25
/ru/company/funcorp/blog/569598/,"разработка мобильных приложений,android 12,android,expedited jobs,Блог компании FUNCORP,мобильные приложения,foreground service,kotlin,workmanager,jobs,фоновые задачи","Kotlin,Разработка под Android,Разработка мобильных приложений",True,funcorp,linreal,19,0,0,8400,57
/ru/company/yandex/blog/541338/,"типизация,javascript,kotlin,cpp,typescript,команда яндекс.маркета,Блог компании Яндекс","Kotlin,C++,TypeScript,JavaScript",True,yandex,smelukov,7,0,0,5400,56
/ru/post/541308/,"Kotlin,fun,Java,val,Properties vs Functions","Kotlin,Java,Совершенный код,Проектирование и рефакторинг,Программирование",False,,dmdev,4,0,0,3200,42
/ru/company/haulmont/blog/540340/,"java,framework,Блог компании Haulmont","Java,Kotlin,Open source,Программирование",True,haulmont,glaschenko,0,0,0,33000,8
/ru/post/541204/,"android,best practices,кейс,архитектура,архитектура приложений,white label,платформа для разработки,конструктор приложений","Kotlin,Разработка под Android,Разработка мобильных приложений",False,,KeyStarr,12,0,0,1100,44
/ru/post/541142/,"jcenter,sonatype,kotlin multiplatform,публикация,maven central,bintray",Kotlin,False,,InsanusMokrassar,2,0,0,2200,11
/ru/post/540456/,"education projects,android,kotlin,junior,education,kotlin lessons","Kotlin,Разработка под Android,Разработка мобильных приложений,Учебный процесс в IT",False,,Gaket,4,0,0,1300,35
/ru/post/539992/,"котлин,рефакторинг,ссылки на фукнции,kotlin,функциональное программирование,inline,функции,функции высшего порядка,расширения","Kotlin,Функциональное программирование",False,,yhwh0,8,0,0,22000,33
/ru/post/538534/,"android,codestyle,форматирование кода,kotlin","Совершенный код,Kotlin,Разработка под Android",False,,KiberneticWorm,2,0,0,2700,26
/ru/post/537910/,"android,codestyle,google,kotlin","Совершенный код,Kotlin,Разработка под Android",False,,KiberneticWorm,10,0,0,4500,32
/ru/post/537716/,"asynchronous,reactor,spring,kotlin,vs,coroutines,java","Java,Kotlin,Параллельное программирование",False,,gnefedev,8,0,0,2300,28
/ru/post/537670/,"karma,mocha,kotest,kvision,kotlin-js","Kotlin,Тестирование веб-сервисов",False,,kamish721,2,0,0,6100,14
/ru/post/537362/,"2021,java,android development,kotlin","Java,Kotlin,Разработка под Android",False,,KiberneticWorm,52,0,0,455,14
/ru/company/funcorp/blog/537144/,"чаты,протокол,backend,Блог компании FUNCORP,бэкенд,андройд,wamp,клиент-сервер,Android,мобильная разработка,чат","Java,Kotlin,Разработка под Android,Разработка мобильных приложений",True,funcorp,linreal,3,0,0,4100,49
/ru/post/536778/,"новинки,Kotlin,релиз",Kotlin,False,,KiberneticWorm,33,0,0,2300,16
/ru/post/536480/,"kotlin multiplatform,mobile developement,kotlin native,kotlin","Kotlin,Разработка под Android,Разработка мобильных приложений,Разработка под iOS",False,,alex009ru,0,0,0,3800,13
/ru/company/domclick/blog/535344/,"Блог компании ДомКлик,bpmn,bpmn 2.0,kotlin","Kotlin,Программирование",True,domclick,xpres,2,0,0,3000,32
/ru/company/JetBrains/blog/534956/,"2020.3,scala,Блог компании JetBrains,релиз,kubernetes,IntelliJ IDEA 2020.3,kotlin","Java,Kotlin,Scala,Kubernetes",True,JetBrains,IrinaMaryasova,13,0,0,8600,13
/ru/company/simbirsoft/blog/534656/,"android,полнотекстовый поиск,Requery,Блог компании SimbirSoft,Поиск,FTS4,FTS,FTS5,Room","Kotlin,Разработка под Android,SQLite",True,simbirsoft,mobileSimbirSoft,2,0,0,5100,34
/ru/company/vivid_money/blog/534386/,"android,vivid.money,выбор,Блог компании Vivid Money,архитектура,kotlin,elm,архитектура приложений,мобильная разработка,mvi,udf","Kotlin,Разработка под Android,Разработка мобильных приложений,Проектирование и рефакторинг",True,vivid_money,diklimchuk,9,0,0,2000,30
/ru/post/552234/,"Kotlin,redis,Spring,Java,chat,microservice","Java,Kotlin",False,,alproudly,0,0,0,5600,57
/ru/company/cft/blog/551596/,"тестирование,Блог компании Центр Финансовых Технологий (ЦФТ),тесты,Junit,типичные ошибки,юнит-тестирование,unit testing","Kotlin,TDD,Разработка под Android,Программирование",True,cft,Sk256,1,0,0,518,45
/ru/post/551222/,"kotlin,recyclerviewadapter,recyclerview,visitor","ООП,Kotlin,Разработка под Android",False,,java73,0,0,0,397,16
/ru/company/JetBrains/blog/551086/,"Блог компании JetBrains,релиз,sql,javascript,kotlin,spring framework,IntelliJ IDEA 2021.1,IntelliJ IDEA,java","Kotlin,Scala,Программирование,JavaScript",True,JetBrains,IrinaMaryasova,30,0,0,8600,13
/ru/company/raiffeisenbank/blog/545154/,"шахматный движок,kotlin,логические игры,шахматы,Блог компании Райффайзенбанк","Научно-популярное,Kotlin,Разработка игр,Логические игры",True,raiffeisenbank,devmark,19,0,0,3300,52
/ru/company/vivid_money/blog/550932/,"архитектура по,android,vivid.money,Блог компании Vivid Money,архитектура,kotlin,elm,архитектура приложений,мобильная разработка,mvi,udf","Kotlin,Разработка под Android,Проектирование и рефакторинг,Программирование",True,vivid_money,diklimchuk,9,0,0,2000,17
/ru/post/550846/,"android,списки,kotlin,motionlayout,recyclerview","Kotlin,Разработка мобильных приложений,Дизайн мобильных приложений,Интерфейсы,Разработка под Android",False,,steff,3,0,0,1000,49
/ru/post/550270/,"scala,go,доказательное программирование,kotlin,java,prolog","Java,Kotlin,Разработка под Android,Программирование",False,,wetnose,158,0,0,10000,71
/ru/post/550264/,"sqlite,jdbc,sql,kotlin,kapt,postgresql,generator","Kotlin,PostgreSQL,SQL,SQLite",False,,MaxFarsikov,9,0,0,407000,12
/ru/post/548566/,"android,android developement,lifecycle-aware components","Kotlin,Разработка под Android,Разработка мобильных приложений",False,,ConstOrVar,4,0,0,1000,17
/ru/company/wheely/blog/548982/,"android,redux,kotlin,Блог компании Wheely,architecture","Kotlin,Разработка под Android,Разработка мобильных приложений",True,wheely,vsulimov,16,0,0,5800,23
/ru/company/otus/blog/548736/,"mad skills,android development,Блог компании OTUS,kotlin","Kotlin,Разработка под Android",True,otus,MaxRokatansky,0,0,0,1000,11
/ru/company/jugru/blog/548408/,"Kotlin,Java,Alter,Андрей Бреслав,Jetpack Compose,Блог компании JUG Ru Group","Java,Kotlin,Карьера в IT-индустрии,Интервью",True,jugru,phillennium,1,0,0,3300,38
/ru/post/546992/,"plugins,kotlin,intellij idea plugin,HashMap,Inspection,intellij idea,IDEA","Java,Kotlin",False,,pyltsinm,0,0,0,11000,33
/ru/post/548362/,"localization,internationalization,linux,gettext,kotlin,japanese","Kotlin,*nix,Изучение языков,Локализация продуктов,Программирование",False,,eraxillan,0,0,0,397,12
/ru/company/otus/blog/548346/,"kotlin,opengl,Блог компании OTUS,shaders,java,android development","Kotlin,Разработка под Android,Программирование",True,otus,MaxRokatansky,0,0,0,1000,20
